,src,dst,weight
72427,Jazz-Funk,G-Funk,0.00019683102056884165
72428,G-Funk,Smooth_Jazz,0.0004060089321965083
72429,Smooth_Jazz,G-Funk,0.00020283975659229209
72430,Ballad,Soca,7.267441860465116e-05
72431,Soca,Ballad,0.002178649237472767
72432,Country_Rock,Soca,7.478312892611427e-05
72433,Soca,Country_Rock,0.0005446623093681918
72434,Folk_Rock,Soca,6.168080185042405e-05
72435,Soca,Folk_Rock,0.0010893246187363835
72436,Glam,Latin_Jazz,0.00029403116730373417
72437,Latin_Jazz,Glam,0.00029036004645760743
72438,Glam,Soca,0.00014701558365186709
72439,Soca,Glam,0.0005446623093681918
72440,Rockabilly,Soca,9.035872413481521e-05
72441,Soca,Rockabilly,0.0005446623093681918
72442,Soca,Soft_Rock,0.0010893246187363835
72443,Soft_Rock,Soca,0.00010981167298083787
72444,Jazz-Funk,Klezmer,0.00019683102056884165
72445,Klezmer,Jazz-Funk,0.002797202797202797
72446,Experimental,Hands_Up,1.132733739607168e-05
72447,Hands_Up,Experimental,0.00048426150121065375
72448,Hands_Up,IDM,0.002421307506053269
72449,IDM,Hands_Up,0.0003252455603981006
72450,Euro_House,Minimal_Techno,3.76236878738854e-05
72451,Minimal_Techno,Euro_House,0.00035816618911174784
72452,Avantgarde,Spectralism,0.000360555255092843
72453,Spectralism,Avantgarde,0.5
72454,Experimental,Spectralism,4.530934958428672e-05
72455,Spectralism,Experimental,0.5
72456,Post-Modern,Spectralism,0.004728132387706856
72457,Spectralism,Post-Modern,0.5
72458,Acid_House,Ragga_HipHop,0.000704390702042733
72459,Ragga_HipHop,Acid_House,0.0017513134851138354
72460,Black_Metal,Breaks,0.00010481905610439979
72461,Breaks,Black_Metal,0.0003269843864955448
72462,Coldwave,Noise,0.011944260119442602
72463,Noise,Coldwave,0.0005962041668046769
72464,Oi,RnB/Swing,0.0001246261216350947
72465,RnB/Swing,Oi,0.00014492753623188405
72466,Oi,Soul,0.0001246261216350947
72467,Soul,Oi,1.62456339858663e-05
72468,Garage_Rock,Synthwave,0.00034070260448213207
72469,Synthwave,Garage_Rock,0.0012526096033402922
72470,Rhythmic_Noise,Synthwave,0.005268199233716475
72471,Synthwave,Rhythmic_Noise,0.0015309672929714683
72472,Krautrock,Musical,0.0010855405992184109
72473,Musical,Krautrock,0.0007229612492770387
72474,Deep_House,Parody,3.1812686899535535e-05
72475,Parody,Deep_House,0.00019782393669634025
72476,Parody,Smooth_Jazz,0.0005934718100890207
72477,Smooth_Jazz,Parody,0.0006085192697768763
72478,Contemporary_R&B,Psychedelic_Rock,0.0008683982000473672
72479,Psychedelic_Rock,Contemporary_R&B,0.0002915142841999258
72480,Arena_Rock,Instrumental,0.00031104199066874026
72481,Instrumental,Arena_Rock,8.002560819462228e-05
72482,Britpop,Country,0.0010770059235325794
72483,Country,Britpop,3.4252440486384655e-05
72484,Chanson,Mizrahi,6.146911177133491e-05
72485,Mizrahi,Chanson,0.009584664536741214
72486,Soul-Jazz,Soul-Jazz,0.0001172882946281961
72487,Soul-Jazz,Soul-Jazz,0.0001172882946281961
72488,Cubano,Pachanga,0.01763668430335097
72489,Pachanga,Cubano,0.022701475595913734
72490,MPB,Rockabilly,0.0018859712752067315
72491,Rockabilly,MPB,0.0011746634137525978
72492,Lied,Requiem,0.005449591280653951
72493,Requiem,Lied,0.00749063670411985
72494,Electric_Blues,Europop,0.0006798096532970768
72495,Europop,Electric_Blues,9.108297659167502e-05
72496,Afro-Cuban,Música_Criolla,0.0027877339705296694
72497,Música_Criolla,Afro-Cuban,0.014553014553014554
72498,Big_Band,Charanga,0.00032847914157451
72499,Charanga,Big_Band,0.007761966364812419
72500,Big_Band,Cubano,0.00043797218876601336
72501,Cubano,Big_Band,0.007054673721340388
72502,Big_Band,Cumbia,0.000492718712361765
72503,Cumbia,Big_Band,0.001144892507314591
72504,Big_Band,Música_Criolla,5.474652359575167e-05
72505,Música_Criolla,Big_Band,0.002079002079002079
72506,Big_Band,Son_Montuno,5.474652359575167e-05
72507,Son_Montuno,Big_Band,0.0010940919037199124
72508,Cubano,Música_Criolla,0.0008818342151675485
72509,Música_Criolla,Cubano,0.002079002079002079
72510,Música_Criolla,Salsa,0.016632016632016633
72511,Salsa,Música_Criolla,0.0008322929671244278
72512,Field_Recording,Waiata,0.0003099333643266698
72513,Waiata,Field_Recording,0.025
72514,Deathcore,Post-Hardcore,0.007303712720632989
72515,Post-Hardcore,Deathcore,0.0027266530334014998
72516,Crust,Pop_Punk,0.0006269592476489029
72517,Pop_Punk,Crust,0.00033008747318039283
72518,Comedy,Cumbia,0.0005321979776476849
72519,Cumbia,Comedy,0.0007632616715430606
72520,Comedy,Pachanga,0.0007982969664715274
72521,Pachanga,Comedy,0.01021566401816118
