style,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Dub,-0.109314196,1.7061418,-0.37018007,0.6297858,-0.32850766,2.0705886,-2.7165492,-0.019222943,2.0265234,0.75584203,-2.6562102,1.013844,2.0104656,-0.043370746,1.116669,0.6954568,-0.34115404,0.41207242,-0.23760723,-0.58029246,-2.5865233,-2.573996,-1.7498857,0.034656715,-1.269051,0.5565023,1.3976799,-0.272576,-0.0833491,0.13032193,-0.19493444,-1.4523737
Acoustic,0.4772481,0.016168093,-0.5324443,2.5783415,1.2167158,-0.1500714,-1.9884143,0.2532477,-1.23649,1.4231219,1.0975782,0.0065782582,0.305105,0.9407387,-1.5568583,-0.82073456,0.07018519,0.8054239,0.9278991,0.28365985,-0.6917559,-0.52197677,1.2335861,-0.25393045,0.30228072,-0.9587592,0.88334996,1.2720845,-0.2975443,0.83487046,0.6848541,0.69709635
Death_Metal,-2.2536788,-2.2087724,0.19421181,1.006441,-0.14393115,0.6903715,0.90091115,-1.0392743,-1.8559631,1.426171,-1.3605525,0.82026535,-0.1341009,1.2842058,-1.2737873,-0.62624556,1.5858413,-1.7418188,-3.6126688,1.5710958,1.2918645,2.2011175,0.87710863,1.4657401,0.7204774,-1.618998,0.18921426,-0.35912648,-0.04438838,2.5674174,-3.4990823,2.7911012
Blues_Rock,1.8273447,-0.05711093,-0.78059536,3.5648785,0.13501418,0.06938141,0.41124088,2.8143241,-2.260063,-0.4408744,-0.7561648,-0.9690442,1.7867534,0.51916224,-0.23611018,-0.13964911,2.2559602,2.610008,1.2963023,0.5999072,0.24252234,1.5735488,0.7849569,1.5336497,0.27605104,-2.4618933,-0.08545796,0.5367252,-0.9126359,0.6667752,1.078849,-0.94808906
Europop,1.8463309,-0.5530288,1.1974086,0.31226346,0.21745236,-1.0446987,0.72882205,0.8172529,0.7711771,2.5337503,-2.2417939,-0.6629875,-2.688513,1.06306,0.3276194,-0.036011964,-1.6072111,0.09105661,2.6042233,1.882407,2.6440794,0.28992185,0.7658783,-1.3640584,0.47617856,0.9170628,1.8380724,-1.1030929,-2.026312,-0.32155746,2.8874242,-3.6928258
Soft_Rock,2.0457048,-0.8225717,0.6163217,1.952072,-0.14447029,-0.001696839,-0.6069446,1.9351296,-1.6209961,1.4843112,-0.2106718,-1.7792823,-1.0279157,0.96638566,-1.2217113,0.5198188,-0.64926034,2.8510578,2.9943395,0.3616671,0.32578924,0.37772632,0.30166855,-0.077435225,0.26122028,-1.0760815,0.6514802,-0.26641464,-0.22051154,-0.45170838,2.3761656,-1.4435527
Classical,1.1452955,-0.55268174,-1.154877,-0.96343356,0.65573865,-0.39721897,-0.72506267,0.29036373,1.1640668,-1.7299103,1.2668159,-0.050001796,-2.8647149,-1.9125338,-1.2053088,-0.46017146,0.5284443,2.0361006,1.8647578,-2.0521958,-0.24309076,0.11243596,0.99950993,-1.2870258,1.2002965,0.28179482,-1.8375233,1.2067981,-0.03567247,-0.16684109,-2.5027766,0.17333344
IDM,-2.7977073,2.6691303,-1.5458506,-0.5703711,0.13902289,1.7565184,-3.0207603,0.9246959,1.1633619,-1.2200866,-1.7697042,1.0596027,1.6344392,-2.00028,1.2081909,-0.04985036,-1.3158659,-2.0060844,-2.4368286,0.3034007,-1.2972667,-2.5464127,-0.8994895,-2.2380223,-1.8460025,-1.6459246,-0.63978654,-0.39092487,1.1246965,3.9640744,-0.60828906,-0.33695742
Acid,-2.4923773,-0.098793894,-0.72623277,0.58271146,-0.81667346,2.1040912,0.6017388,1.7044945,2.2292275,-0.76728916,-2.4631953,1.7448136,0.080612846,0.10324255,2.2324588,-1.2713695,-0.1347463,-2.060987,-1.5011812,-2.3936956,-2.533516,-0.6919504,-1.8909364,-2.3685708,-1.2489808,-0.68216383,-1.9679681,-1.8538936,0.4129486,0.38119894,-0.79856414,-0.9926217
Swing,1.5682553,-0.7607479,-4.027387,-1.6253499,-2.246565,-0.7533289,1.1779988,-0.4000433,-2.1866941,-0.2155842,2.4387167,-1.6409017,-1.5813327,-1.2589302,1.136735,1.6774467,0.63319784,0.12029156,0.77922064,-0.2695861,1.573985,2.5355756,-0.36980775,0.8380082,-1.4953439,0.773965,1.6720686,2.357309,1.2168881,-0.12500839,-0.21976195,-2.02758
